//File Created from Spray glider sat file
//File updated on 06/26/2025 10:29
//Float ID: 25420901
//WMO ID: 25420901
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	b_bp700[1/m]	QF	pHinsitu[Total]	QF	b_bp532[1/m]	QF	CDOM[ppb]	QF	TALK_CANYONB[µmol/kg]	QF	DIC_CANYONB[µmol/kg]	QF	pCO2_CANYONB[µatm]	QF	SAT_AR_CANYONB[]	QF	pH25C_1atm[Total]	QF	DOWNWELL_PAR[µmol Quanta/m^2/sec]	QF	DOWN_IRRAD380[W/m^2/nm]	QF	DOWN_IRRAD443[W/m^2/nm]	QF	DOWN_IRRAD490[W/m^2/nm]	QF	VRS[Volts]	QF	VRS_STD[Volts]	QF	VK[Volts]	QF	VK_STD[Volts]	QF	IK[nA]	QF	Ib[nA]	QF	PHIN_CANYONB[Total]	QF
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	69.90	0	11.0030	0	34.3265	0	1026.255	0	69.379	0	220.42	0	81.6	0	-1e10	0	0.5365	0	-1e10	0	8.0347	0	-1e10	0	-1e10	0	2285	0	2100	0	406.3	0	2.000	0	7.8278	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.930730	0	0.000011	0	-0.989300	0	0.000011	0	33.00	0	-0.07	0	7.9555	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	65.80	0	10.4617	0	34.1847	0	1026.240	0	65.310	0	225.22	0	82.3	0	-1e10	0	1.0540	0	-1e10	0	8.0398	0	-1e10	0	-1e10	0	2278	0	2096	0	399.8	0	1.972	0	7.8246	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.930730	0	0.000007	0	-0.988900	0	0.000012	0	33.00	0	-0.08	0	7.9486	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	62.00	0	10.3257	0	34.1443	0	1026.232	0	61.539	0	230.80	0	84.1	0	-1e10	0	0.2530	0	-1e10	0	8.0411	0	-1e10	0	-1e10	0	2277	0	2095	0	398.2	0	1.966	0	7.8237	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.930730	0	0.000006	0	-0.988300	0	0.000008	0	33.00	0	-0.06	0	7.9554	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	58.20	0	10.2537	0	34.1107	0	1026.218	0	57.768	0	234.32	0	85.2	0	-1e10	0	0.2935	0	-1e10	0	8.0525	0	-1e10	0	-1e10	0	2275	0	2090	0	386.5	0	2.004	0	7.8334	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.930130	0	0.000008	0	-0.987700	0	0.000011	0	33.00	0	-0.07	0	7.9592	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	53.30	0	10.8110	0	34.1903	0	1026.183	0	52.905	0	237.60	0	87.5	0	-1e10	0	0.7010	0	-1e10	0	8.0609	0	-1e10	0	-1e10	0	2279	0	2086	0	379.0	0	2.086	0	7.8497	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.929330	0	0.000011	0	-0.986700	0	0.000012	0	33.00	0	-0.07	0	7.9777	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	49.90	0	10.5923	0	34.1250	0	1026.171	0	49.530	0	243.81	0	89.4	0	-1e10	0	1.5525	0	-1e10	0	8.0630	0	-1e10	0	-1e10	0	2277	0	2084	0	376.7	0	2.074	0	7.8484	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.929330	0	0.000015	0	-0.985900	0	0.000015	0	33.00	0	-0.07	0	7.9836	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	46.50	0	9.8170	0	33.9188	0	1026.142	0	46.156	0	255.56	0	92.0	0	-1e10	0	0.3233	0	-1e10	0	8.0845	0	-1e10	0	-1e10	0	2268	0	2073	0	354.5	0	2.091	0	7.8574	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.928530	0	0.000014	0	-0.984700	0	0.000007	0	33.00	0	-0.06	0	7.9857	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	41.80	0	10.0620	0	33.9670	0	1026.139	0	41.491	0	261.85	0	94.8	0	-1e10	0	0.6420	0	-1e10	0	8.1214	0	-1e10	0	-1e10	0	2270	0	2056	0	321.8	0	2.271	0	7.8967	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.926330	0	0.000014	0	-0.982900	0	0.000010	0	33.00	0	-0.07	0	8.0054	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	38.10	0	12.2103	0	34.3553	0	1026.053	0	37.819	0	259.47	0	98.6	0	-1e10	0	0.6752	0	-1e10	0	8.1310	0	-1e10	0	-1e10	0	2289	0	2050	0	315.9	0	2.526	0	7.9384	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.924530	0	0.000015	0	-0.981300	0	0.000010	0	33.00	0	-0.06	0	8.0469	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	34.70	0	13.1300	0	34.5452	0	1026.019	0	34.444	0	258.18	0	100.1	0	-1e10	0	0.8598	0	-1e10	0	8.1536	0	-1e10	0	-1e10	0	2298	0	2039	0	297.9	0	2.739	0	7.9743	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.922730	0	0.000014	0	-0.979500	0	0.000008	0	33.00	0	-0.07	0	8.0627	0
