//File Created from Spray glider sat file
//File updated on 02/13/2025 08:15
//Float ID: 25202901
//WMO ID: 25202901
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	b_bp700[1/m]	QF	pHinsitu[Total]	QF	b_bp532[1/m]	QF	CDOM[ppb]	QF	TALK_CANYONB[µmol/kg]	QF	DIC_CANYONB[µmol/kg]	QF	pCO2_CANYONB[µatm]	QF	SAT_AR_CANYONB[]	QF	pH25C_1atm[Total]	QF	DOWNWELL_PAR[µmol Quanta/m^2/sec]	QF	DOWN_IRRAD380[W/m^2/nm]	QF	DOWN_IRRAD443[W/m^2/nm]	QF	DOWN_IRRAD490[W/m^2/nm]	QF	VRS[Volts]	QF	VRS_STD[Volts]	QF	VK[Volts]	QF	VK_STD[Volts]	QF	IK[nA]	QF	Ib[nA]	QF
25202901	1	C	02/05/2025	16:59	-121.859	36.805	0	28.96	0	12.2900	0	33.2790	0	1025.203	0	28.744	0	249.16	0	94.1	0	-1e10	0	0.1386	0	-1e10	0	7.9373	0	-1e10	0	-1e10	0	2230	0	2085	0	518.2	0	1.663	0	7.7519	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	0.322200	0	0.000000	0	0.360600	0	0.000000	0	-13.33	0	187.80	0
25202901	1	C	02/05/2025	16:59	-121.859	36.805	0	27.76	0	12.3000	0	33.2730	0	1025.196	0	27.553	0	249.43	0	94.2	0	-1e10	0	0.1337	0	-1e10	0	7.9371	0	-1e10	0	-1e10	0	2229	0	2085	0	518.5	0	1.663	0	7.7518	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	0.322200	0	0.000000	0	0.360500	0	0.000000	0	-13.33	0	187.80	0
25202901	1	C	02/05/2025	16:59	-121.859	36.805	0	26.64	0	12.2990	0	33.2760	0	1025.199	0	26.442	0	249.43	0	94.2	0	-1e10	0	0.1416	0	-1e10	0	7.9390	0	-1e10	0	-1e10	0	2230	0	2085	0	516.2	0	1.669	0	7.7535	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	0.322300	0	0.000000	0	0.360400	0	0.000000	0	-20.00	0	187.80	0
25202901	1	C	02/05/2025	16:59	-121.859	36.805	0	25.60	0	12.3110	0	33.2700	0	1025.192	0	25.410	0	249.52	0	94.3	0	-1e10	0	0.1386	0	-1e10	0	7.9388	0	-1e10	0	-1e10	0	2229	0	2084	0	516.4	0	1.669	0	7.7535	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	0.322300	0	0.000000	0	0.360300	0	0.000000	0	-6.67	0	187.80	0
25202901	1	C	02/05/2025	16:59	-121.859	36.805	0	24.44	0	12.3170	0	33.2680	0	1025.189	0	24.258	0	249.71	0	94.3	0	-1e10	0	0.1515	0	-1e10	0	7.9387	0	-1e10	0	-1e10	0	2229	0	2084	0	516.6	0	1.669	0	7.7534	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	0.322300	0	0.000000	0	0.360200	0	0.000000	0	-13.33	0	187.90	0
25202901	1	C	02/05/2025	16:59	-121.859	36.805	0	23.24	0	12.3260	0	33.2650	0	1025.185	0	23.067	0	249.61	0	94.3	0	-1e10	0	0.1297	0	-1e10	0	7.9386	0	-1e10	0	-1e10	0	2229	0	2084	0	516.8	0	1.670	0	7.7534	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	0.322300	0	0.000000	0	0.360100	0	0.000000	0	-13.33	0	187.80	0
25202901	1	C	02/05/2025	16:59	-121.859	36.805	0	22.08	0	12.3280	0	33.2670	0	1025.186	0	21.916	0	249.72	0	94.4	0	-1e10	0	0.1327	0	-1e10	0	7.9404	0	-1e10	0	-1e10	0	2229	0	2084	0	514.5	0	1.676	0	7.7551	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	0.322400	0	0.000000	0	0.360000	0	0.000000	0	-13.33	0	187.90	0
25202901	1	C	02/05/2025	16:59	-121.859	36.805	0	20.96	0	12.3330	0	33.2670	0	1025.185	0	20.804	0	249.50	0	94.3	0	-1e10	0	0.1317	0	-1e10	0	7.9403	0	-1e10	0	-1e10	0	2229	0	2084	0	514.7	0	1.676	0	7.7551	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	0.322400	0	0.000000	0	0.360000	0	0.000000	0	-13.33	0	187.80	0
25202901	1	C	02/05/2025	16:59	-121.859	36.805	0	19.92	0	12.3320	0	33.2720	0	1025.189	0	19.772	0	249.60	0	94.3	0	-1e10	0	0.1396	0	-1e10	0	7.9422	0	-1e10	0	-1e10	0	2229	0	2083	0	512.3	0	1.683	0	7.7568	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	0.322500	0	0.000000	0	0.360000	0	0.000000	0	-20.00	0	187.80	0
25202901	1	C	02/05/2025	16:59	-121.859	36.805	0	18.76	0	12.3390	0	33.2690	0	1025.185	0	18.621	0	249.87	0	94.4	0	-1e10	0	0.1307	0	-1e10	0	7.9421	0	-1e10	0	-1e10	0	2229	0	2083	0	512.5	0	1.683	0	7.7568	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	0.322500	0	0.000000	0	0.359900	0	0.000000	0	-20.00	0	187.80	0
